ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x0000","0x02","0","1","0","0","64","17","0x33fc","192.168.1.2","142.250.182.14","62","0x00",,,,,,,,,,,,,,,,,,
"4","20",,"0x0000","0x02","0","1","0","0","56","17","0x3c01","142.250.182.14","192.168.1.2","57","0x00",,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,"50013","49637","1","1","349","32","0x0018","0","0","0","1","1","0","0","134","0x17b3","0",
"6",,,,,,,,,,,,,,,,"49637","50013","1","350","0","32","0x0010","0","0","0","0","1","0","0","2042","0x7791","0",
"6",,,,,,,,,,,,,,,,"49637","50013","1","350","264","32","0x0018","0","0","0","1","1","0","0","2048","0x1153","0",
"6",,,,,,,,,,,,,,,,"50013","49637","1","1","349","32","0x0018","0","0","0","1","1","0","0","134","0x16d4","0",
"6",,,,,,,,,,,,,,,,"49637","50013","265","350","0","44","0x0010","0","0","0","0","1","0","0","2048","0x101a","0",
"6",,,,,,,,,,,,,,,,"50013","49637","350","265","0","32","0x0010","0","0","0","0","1","0","0","157","0x7d03","0",
"4","20",,"0xe9a6","0x00","0","0","0","0","64","6","0x4dbc","192.168.1.2","18.161.111.34","40","0x00","49885","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","9188","0x9014","0",
"4","20",,"0xd5fb","0x00","0","0","0","0","64","6","0x6167","192.168.1.2","18.161.111.34","40","0x00","49888","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x1ddc","0",
"4","20",,"0x60b1","0x00","0","0","0","0","244","6","0x2285","18.161.111.34","192.168.1.2","52","0x20","443","49885","1","2","0","32","0x0010","0","0","0","0","1","0","0","135","0x58c0","0",
"4","20",,"0xebc2","0x00","0","0","0","0","244","6","0x9773","18.161.111.34","192.168.1.2","52","0x20","443","49888","1","2","0","32","0x0010","0","0","0","0","1","0","0","135","0x2ef7","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0x9440","0x00","0","0","0","0","64","6","0x134f","192.168.1.2","151.101.122.49","40","0x00","49891","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x23ac","0",
"4","20",,"0xc127","0x02","0","1","0","0","50","6","0xb433","151.101.122.49","192.168.1.2","52","0x28","443","49891","1","2","0","32","0x0010","0","0","0","0","1","0","0","287","0xaee2","0",
