IP,Type
192.168.1.2,good
142.250.182.14,good
18.161.111.34,good
151.101.122.49,good
162.247.241.14,good
151.101.120.134,good
146.75.116.64,good
198.8.71.130,good
66.117.22.131,good
192.168.1.54,good
157.240.228.60,good
54.227.95.54,good
52.7.11.13,good
192.168.1.1,good
66.203.125.15,good
54.192.111.63,good
192.168.1.4,good
199.232.104.95,good
34.98.122.109,good
13.67.9.5,good
54.218.71.74,good
13.249.221.86,good
18.161.216.29,good
104.17.108.108,good
52.205.87.26,good
104.17.107.108,good
192.168.1.8,good
142.250.67.80,good
34.237.73.95,good
192.168.1.10,good
192.168.1.6,good
13.248.153.165,good
18.161.214.85,good
13.248.151.210,good
74.125.200.188,good
104.17.33.82,good
99.86.22.153,good
18.155.99.53,good
13.32.63.92,good
104.18.7.29,good
172.67.222.158,good
140.82.113.25,good
18.161.216.160,good
13.32.63.113,good
13.249.221.43,good
18.161.209.116,good
99.86.12.76,good
151.101.128.134,good
35.160.134.20,good
142.250.182.14,good
192.168.1.2,good
18.161.111.34,good
151.101.122.49,good
151.101.120.134,good
162.247.241.14,good
146.75.116.64,good
198.8.71.130,good
66.117.22.131,good
224.0.0.251,good
157.240.228.60,good
52.7.11.13,good
54.227.95.54,good
192.168.1.1,good
66.203.125.15,good
54.192.111.63,good
199.232.104.95,good
34.98.122.109,good
13.67.9.5,good
54.218.71.74,good
13.249.221.86,good
18.161.216.29,good
104.17.108.108,good
52.205.87.26,good
104.17.107.108,good
142.250.67.80,good
34.237.73.95,good
13.248.153.165,good
18.161.214.85,good
13.248.151.210,good
74.125.200.188,good
104.17.33.82,good
99.86.22.153,good
18.155.99.53,good
13.32.63.92,good
104.18.7.29,good
172.67.222.158,good
140.82.113.25,good
13.32.63.113,good
18.161.216.160,good
13.249.221.43,good
18.161.209.116,good
99.86.12.76,good
151.101.128.134,good
239.255.255.250,good
35.160.134.20,good
192.168.1.6,good
192.168.1.255,good
103.251.167.10,risky
103.251.167.20,risky
103.251.167.21,risky
107.152.217.4,risky
107.189.30.69,risky
107.189.6.124,risky
107.189.7.185,risky
109.70.100.20,risky
109.70.100.24,risky
109.70.100.27,risky
109.70.100.31,risky
109.70.100.32,risky
109.70.100.33,risky
109.70.100.34,risky
109.70.100.36,risky
109.70.100.76,risky
109.70.100.80,risky
109.70.100.82,risky
142.44.170.136,risky
144.172.73.16,risky
146.59.44.45,risky
146.70.134.10,risky
146.88.218.26,risky
162.210.173.17,risky
162.247.74.206,risky
174.73.219.215,risky
174.85.88.161,risky
176.126.253.190,risky
178.175.135.7,risky
179.43.187.43,risky
185.107.70.56,risky
185.129.61.10,risky
185.129.61.5,risky
185.129.61.7,risky
185.129.62.62,risky
185.129.62.63,risky
185.14.97.176,risky
185.16.38.110,risky
185.16.38.111,risky
185.181.61.23,risky
185.195.71.244,risky
185.195.71.3,risky
185.220.100.240,risky
185.220.100.241,risky
185.220.100.242,risky
185.220.100.243,risky
185.220.100.244,risky
185.220.100.245,risky
185.220.100.246,risky
185.220.100.247,risky
185.220.100.248,risky
185.220.100.249,risky
185.220.100.250,risky
185.220.100.251,risky
185.220.100.252,risky
185.220.100.253,risky
185.220.100.254,risky
185.220.100.255,risky
185.220.101.1,risky
185.220.101.14,risky
185.220.101.15,risky
185.220.101.16,risky
185.220.101.19,risky
185.220.101.2,risky
185.220.101.21,risky
185.220.101.24,risky
185.220.101.26,risky
185.220.101.27,risky
185.220.101.29,risky
185.220.101.3,risky
185.220.101.30,risky
185.220.101.31,risky
185.220.101.32,risky
185.220.101.34,risky
185.220.101.37,risky
185.220.101.38,risky
185.220.101.39,risky
185.220.101.4,risky
185.220.101.5,risky
185.220.101.6,risky
185.220.101.68,risky
185.220.101.78,risky
185.220.101.9,risky
185.220.102.241,risky
185.220.102.243,risky
185.220.102.244,risky
185.220.102.245,risky
185.220.102.246,risky
185.220.102.247,risky
185.220.102.250,risky
185.220.102.253,risky
185.220.102.254,risky
185.241.208.206,risky
185.243.218.110,risky
185.243.218.27,risky
185.243.218.41,risky
185.243.218.46,risky
185.243.218.78,risky
185.243.218.89,risky
185.246.188.60,risky
185.246.188.67,risky
185.246.188.74,risky
185.254.75.55,risky
185.56.83.83,risky
193.142.146.213,risky
194.180.48.42,risky
199.249.230.146,risky
199.249.230.176,risky
2.58.56.101,risky
205.185.116.34,risky
209.141.34.134,risky
212.102.44.67,risky
212.21.66.6,risky
212.227.115.239,risky
23.129.64.137,risky
23.129.64.210,risky
23.129.64.223,risky
23.137.251.61,risky
23.175.32.11,risky
35.145.152.125,risky
37.120.186.208,risky
37.252.255.135,risky
45.129.56.207,risky
45.134.225.36,risky
45.151.167.10,risky
46.166.139.111,risky
47.199.193.190,risky
47.201.90.137,risky
5.226.139.227,risky
5.255.99.205,risky
51.89.153.112,risky
62.102.148.68,risky
62.102.148.69,risky
62.182.86.239,risky
67.163.18.56,risky
68.235.43.30,risky
72.200.182.35,risky
72.202.130.217,risky
76.126.196.190,risky
76.91.4.48,risky
77.68.26.238,risky
77.68.75.173,risky
79.110.62.244,risky
80.67.167.81,risky
89.234.157.254,risky
92.205.129.7,risky
94.142.244.16,risky
94.230.208.147,risky
95.168.173.143,risky
95.214.52.156,risky
95.214.52.208,risky
95.214.54.97,risky
95.214.55.43,risky
98.41.200.132,risky
